# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Fisher's P	Odds Ratio	CI Low	CI High	LOD	AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value
2	Preit	Psche	un	94	93	0.000315288	0.05263	0.00611	0.45313	1.27875	0.30000	-1.00000	-1.00000
57	Preit	Psche	un	631	19	0.738453676	1.33333	0.34333	5.17806	0.12494	0.00433	-1.00000	-1.00000
59	Preit	Psche	un	754	41	0.004726994	11.40000	1.29629	100.25533	1.05690	0.20455	-1.00000	-1.00000
80	Preit	Psche	un	972	56	0.054609929	5.95238	0.64385	55.02943	0.77469	0.09091	-1.00000	-1.00000
116	Preit	Psche	un	1428	98	0.104015723	3.50000	0.87140	14.05790	0.54407	0.08148	-1.00000	-1.00000
125	Preit	Psche	un	1612	79	0.000000000	210.00000	17.63221	2501.10498	2.32222	0.90476	-1.00000	-1.00000
179	Preit	Psche	un	1662	29	0.000000000	441.00000	25.84087	7526.10254	2.64444	1.00000	-1.00000	-1.00000
188	Preit	Psche	un	1763	29	0.000069869	24.81818	2.85972	215.38510	1.39477	0.36364	-1.00000	-1.00000
210	Preit	Psche	un	1875	41	0.000000020	92.00000	9.38805	901.57172	1.96379	0.73333	-1.00000	-1.00000
438	Preit	Psche	un	2391	47	0.053014553	0.16190	0.01723	1.52124	0.79074	0.11111	-1.00000	-1.00000
512	Preit	Psche	un	2589	42	0.041454989	7.00000	0.74002	66.21449	0.84510	0.13072	-1.00000	-1.00000
551	Preit	Psche	un	2686	38	0.122272849	0.22105	0.02365	2.06598	0.65550	0.07895	-1.00000	-1.00000
558	Preit	Psche	un	2766	16	0.018225677	8.62500	0.94512	78.71011	0.93576	0.14865	-1.00000	-1.00000
581	Preit	Psche	un	3101	46	0.115384615	4.66667	0.47733	45.62406	0.66901	0.08108	-1.00000	-1.00000
641	Preit	Psche	un	3199	42	0.010569833	9.47059	1.06300	84.37661	0.97638	0.15789	-1.00000	-1.00000
698	Preit	Psche	un	3271	12	0.000701648	16.42857	1.89393	142.50671	1.21560	0.25714	-1.00000	-1.00000
778	Preit	Psche	un	3721	54	0.243589744	0.30159	0.02886	3.15207	0.52059	0.05263	-1.00000	-1.00000
781	Preit	Psche	un	3793	23	0.001225488	15.00000	1.72484	130.44717	1.17609	0.22967	-1.00000	-1.00000
816	Preit	Psche	un	4136	62	1.000000000	1.00000	0.27072	3.69384	0.00000	0.00000	-1.00000	-1.00000
818	Preit	Psche	un	4335	48	0.018225677	0.08844	0.00973	0.80337	1.05337	0.15003	-1.00000	-1.00000
863	Preit	Psche	un	4456	67	0.000125561	23.00000	2.62718	201.35693	1.36173	0.34375	-1.00000	-1.00000
918	Preit	Psche	un	4614	22	0.000092564	25.66667	2.86957	229.57356	1.40937	0.39683	-1.00000	-1.00000
941	Preit	Psche	un	4710	18	0.023562024	7.87500	0.85984	72.12452	0.89625	0.14286	-1.00000	-1.00000
981	Preit	Psche	un	4815	22	0.001225488	15.00000	1.72484	130.44717	1.17609	0.22967	-1.00000	-1.00000
998	Preit	Psche	un	4913	19	0.004700643	0.09000	0.01032	0.78462	1.04576	0.17073	-1.00000	-1.00000
1065	Preit	Psche	un	5078	82	0.000000000	475.00000	27.88231	8092.04932	2.67669	1.00000	-1.00000	-1.00000
1076	Preit	Psche	un	5192	94	0.000614251	0.05714	0.00649	0.50277	1.24304	0.29032	-1.00000	-1.00000
1104	Preit	Psche	un	5342	38	0.029196769	0.14286	0.01599	1.27607	0.84510	0.12500	-1.00000	-1.00000
1149	Preit	Psche	un	5524	16	0.000000021	107.66666	10.20760	1135.63513	2.03208	0.80000	-1.00000	-1.00000
1173	Preit	Psche	un	5681	72	0.000074461	25.00000	2.86444	218.19283	1.39794	0.35294	-1.00000	-1.00000
1182	Preit	Psche	un	5726	15	0.005954328	12.09091	1.30922	111.66191	1.08246	0.24107	-1.00000	-1.00000
1258	Preit	Psche	un	5987	74	0.160485006	5.75000	0.58675	56.34823	0.75967	0.06171	-1.00000	-1.00000
1518	Preit	Psche	un	6392	70	0.200845666	0.25333	0.02439	2.63125	0.59631	0.05714	-1.00000	-1.00000
1630	Preit	Psche	un	6533	9	0.000006783	35.00000	3.99752	306.43997	1.54407	0.45455	-1.00000	-1.00000
1673	Preit	Psche	un	6973	41	0.042505140	9.54545	1.02117	89.22676	0.97980	0.14750	-1.00000	-1.00000
1676	Preit	Psche	un	7059	26	0.231863442	4.22222	0.43005	41.45344	0.62554	0.07714	-1.00000	-1.00000
1707	Preit	Psche	un	7281	40	0.000002782	38.33333	4.39433	334.39560	1.58358	0.46667	-1.00000	-1.00000
1714	Preit	Psche	un	7353	10	0.000000000	441.00000	25.84087	7526.10254	2.64444	1.00000	-1.00000	-1.00000
1791	Preit	Psche	un	7655	9	0.001638002	14.53846	1.64553	128.44907	1.16252	0.25000	-1.00000	-1.00000
1982	Preit	Psche	un	7888	40	0.054609929	5.95238	0.64385	55.02943	0.77469	0.09091	-1.00000	-1.00000
1988	Preit	Psche	un	8014	64	0.000000000	441.00000	25.84087	7526.10254	2.64444	1.00000	-1.00000	-1.00000
1991	Preit	Psche	un	8056	5	0.001638002	14.53846	1.64553	128.44907	1.16252	0.25000	-1.00000	-1.00000
2037	Preit	Psche	un	8260	6	0.001638002	14.53846	1.64553	128.44907	1.16252	0.25000	-1.00000	-1.00000
2050	Preit	Psche	un	8383	28	0.043285982	6.76471	0.72253	63.33513	0.83025	0.11579	-1.00000	-1.00000
2060	Preit	Psche	un	8493	36	0.000013766	34.50000	3.84982	309.17062	1.53782	0.46360	-1.00000	-1.00000
2077	Preit	Psche	un	8605	47	0.545915011	1.50000	0.42870	5.24840	0.17609	0.01010	-1.00000	-1.00000
2132	Preit	Psche	un	8682	22	0.000069869	24.81818	2.85972	215.38510	1.39477	0.36364	-1.00000	-1.00000
2163	Preit	Psche	un	8771	10	0.721508747	1.34615	0.29556	6.13110	0.12909	0.00412	-1.00000	-1.00000
2226	Preit	Psche	un	8921	57	0.000376683	0.05217	0.00595	0.45738	1.28255	0.30000	-1.00000	-1.00000
2238	Preit	Psche	un	9127	61	0.220673635	0.27536	0.02644	2.86823	0.56010	0.05500	-1.00000	-1.00000
2278	Preit	Psche	un	9302	33	0.000001333	41.66667	4.79121	362.35330	1.61979	0.47727	-1.00000	-1.00000
2348	Preit	Psche	un	9504	32	0.108639328	5.52632	0.59130	51.64951	0.74244	0.09569	-1.00000	-1.00000
2379	Preit	Psche	un	9852	76	0.492600423	0.36508	0.03519	3.78714	0.43761	0.03968	-1.00000	-1.00000
2413	Preit	Psche	un	10046	67	0.000125561	23.00000	2.62718	201.35693	1.36173	0.34375	-1.00000	-1.00000
2418	Preit	Psche	un	10222	41	0.013161683	9.00000	1.01081	80.13367	0.95424	0.18182	-1.00000	-1.00000
2701	Preit	Psche	un	10892	1	0.174484053	0.19048	0.01937	1.87312	0.72016	0.05681	-1.00000	-1.00000
2703	Preit	Psche	un	11049	58	0.428571429	0.36000	0.03028	4.28075	0.44370	0.03252	-1.00000	-1.00000
2783	Preit	Psche	un	11174	83	0.220673635	0.27536	0.02644	2.86823	0.56010	0.05500	-1.00000	-1.00000
2801	Preit	Psche	un	11230	39	0.000894783	17.18182	1.92095	153.68147	1.23507	0.29630	-1.00000	-1.00000
2913	Preit	Psche	un	11685	87	0.000005171	35.00000	6.19205	197.83427	1.54407	0.50174	-1.00000	-1.00000
2944	Preit	Psche	un	11974	69	0.000034356	28.33333	3.20422	250.53772	1.45230	0.42424	-1.00000	-1.00000
3002	Preit	Psche	un	12053	47	0.000075989	26.60000	3.04171	232.61887	1.42488	0.39394	-1.00000	-1.00000
3028	Preit	Psche	un	12118	11	0.014916474	8.00000	1.44476	44.29793	0.90309	0.17450	-1.00000	-1.00000
3071	Preit	Psche	un	12218	10	0.000030660	27.18182	3.14364	235.03053	1.43428	0.37500	-1.00000	-1.00000
3091	Preit	Psche	un	12427	16	0.045779845	4.50000	1.08347	18.68992	0.65321	0.11422	-1.00000	-1.00000
3148	Preit	Psche	un	12822	8	0.053014553	0.16190	0.01723	1.52124	0.79074	0.11111	-1.00000	-1.00000
3164	Preit	Psche	un	12982	67	0.000000001	145.66667	13.98462	1517.29382	2.16336	0.82500	-1.00000	-1.00000
3311	Preit	Psche	un	13678	42	0.600000000	0.43478	0.03662	5.16166	0.36173	0.00992	-1.00000	-1.00000
3360	Preit	Psche	un	13803	65	0.021612205	8.64706	0.96704	77.31995	0.93687	0.15152	-1.00000	-1.00000
3412	Preit	Psche	un	14048	6	0.000172149	23.22222	2.58491	208.62325	1.36590	0.38462	-1.00000	-1.00000
3441	Preit	Psche	un	14277	31	0.051948052	6.33333	0.66668	60.16535	0.80163	0.12500	-1.00000	-1.00000
3448	Preit	Psche	un	14417	70	0.000814482	16.07692	1.84427	140.14633	1.20620	0.27273	-1.00000	-1.00000
3477	Preit	Psche	un	14602	50	0.001225488	15.00000	1.72484	130.44717	1.17609	0.22967	-1.00000	-1.00000
3637	Preit	Psche	un	15024	68	0.000000000	625.00000	37.00302	10556.57129	2.79588	1.00000	-1.00000	-1.00000
3694	Preit	Psche	un	15216	58	0.000000000	399.00000	23.30067	6832.46484	2.60097	1.00000	-1.00000	-1.00000
3821	Preit	Psche	un	15406	41	0.109942703	5.47619	0.59057	50.77928	0.73848	0.08730	-1.00000	-1.00000
3861	Preit	Psche	un	15726	55	0.001638002	14.53846	1.64553	128.44907	1.16252	0.25000	-1.00000	-1.00000
4055	Preit	Psche	un	15894	19	0.160485006	5.75000	0.58675	56.34823	0.75967	0.06171	-1.00000	-1.00000
4095	Preit	Psche	un	15985	6	0.000009581	32.20000	3.71211	279.31317	1.50786	0.41935	-1.00000	-1.00000
4136	Preit	Psche	un	16166	85	0.196153846	0.24638	0.02353	2.57936	0.60840	0.06433	-1.00000	-1.00000
4272	Preit	Psche	un	16440	54	0.000075989	26.60000	3.04171	232.61887	1.42488	0.39394	-1.00000	-1.00000
4384	Preit	Psche	un	16584	96	0.000001196	40.00000	4.66259	343.15671	1.60206	0.45455	-1.00000	-1.00000
4450	Preit	Psche	un	16704	13	0.004011773	8.75000	1.92585	39.75509	0.94201	0.22344	-1.00000	-1.00000
4466	Preit	Psche	un	16794	1	0.010098010	9.80000	1.08848	88.23300	0.99123	0.17647	-1.00000	-1.00000
4550	Preit	Psche	un	17111	8	0.016993464	10.45455	1.08647	100.59920	1.01931	0.19643	-1.00000	-1.00000
4614	Preit	Psche	un	17588	73	0.000298261	21.00000	2.35199	187.50041	1.32222	0.34483	-1.00000	-1.00000
4667	Preit	Psche	un	17831	11	0.021612205	8.64706	0.96704	77.31995	0.93687	0.15152	-1.00000	-1.00000
4680	Preit	Psche	un	18069	47	0.223188406	0.28000	0.02707	2.89628	0.55284	0.04959	-1.00000	-1.00000
4729	Preit	Psche	un	18346	21	0.005490822	11.66667	1.30448	104.34106	1.06695	0.18947	-1.00000	-1.00000
4782	Preit	Psche	un	18558	30	0.645895795	1.94118	0.29096	12.95094	0.28807	0.01094	-1.00000	-1.00000
4812	Preit	Psche	un	18661	30	1.000000000	1.72727	0.14497	20.57931	0.23736	0.02098	-1.00000	-1.00000
4839	Preit	Psche	un	18992	57	0.000565025	17.76923	2.04750	154.21063	1.24967	0.28409	-1.00000	-1.00000
4919	Preit	Psche	un	19364	23	0.053014553	6.17647	0.65736	58.03357	0.79074	0.11111	-1.00000	-1.00000
4944	Preit	Psche	un	19592	48	0.597560976	0.42857	0.03583	5.12631	0.36798	0.01119	-1.00000	-1.00000
5016	Preit	Psche	un	20007	58	0.027338515	0.12000	0.01277	1.12773	0.92082	0.14035	-1.00000	-1.00000
5101	Preit	Psche	un	20274	21	0.017069701	0.11111	0.01204	1.02553	0.95424	0.16835	-1.00000	-1.00000
5115	Preit	Psche	un	20612	56	0.035690345	7.35294	0.78770	68.63707	0.86646	0.12000	-1.00000	-1.00000
5131	Preit	Psche	un	20772	7	0.081483836	4.00000	0.91970	17.39694	0.60206	0.10000	-1.00000	-1.00000
5196	Preit	Psche	un	21119	48	0.613704503	0.36842	0.03525	3.85059	0.43366	0.01687	-1.00000	-1.00000
5227	Preit	Psche	un	21418	44	0.040742395	0.17647	0.03905	0.79744	0.75333	0.13960	-1.00000	-1.00000
5357	Preit	Psche	un	21817	34	0.001804239	0.07246	0.00831	0.63213	1.13988	0.22222	-1.00000	-1.00000
5416	Preit	Psche	un	22000	14	0.005954328	12.09091	1.30922	111.66191	1.08246	0.24107	-1.00000	-1.00000
5438	Preit	Psche	un	22141	54	0.000000000	575.00000	33.96244	9735.01758	2.75967	1.00000	-1.00000	-1.00000
5544	Preit	Psche	un	22294	1	0.000000002	112.50000	11.58129	1092.81873	2.05115	0.75556	-1.00000	-1.00000
5567	Preit	Psche	un	22674	77	1.000000000	0.52381	0.04414	6.21662	0.28083	0.02217	-1.00000	-1.00000
5592	Preit	Psche	un	22789	91	0.003186268	12.50000	1.42503	109.64672	1.09691	0.19580	-1.00000	-1.00000
5738	Preit	Psche	un	22933	28	0.000004888	35.00000	4.04740	302.66315	1.54407	0.42975	-1.00000	-1.00000
6092	Preit	Psche	un	23680	64	0.000293189	25.20000	2.86411	221.72339	1.40140	0.30025	-1.00000	-1.00000
6098	Preit	Psche	un	23785	68	0.000033582	28.63636	3.32997	246.26105	1.45692	0.38889	-1.00000	-1.00000
6154	Preit	Psche	un	24122	91	0.003776492	12.60000	1.43911	110.31839	1.10037	0.21390	-1.00000	-1.00000
6177	Preit	Psche	un	24190	59	1.000000000	0.52174	0.04423	6.15400	0.28255	0.02037	-1.00000	-1.00000
6193	Preit	Psche	un	24283	51	0.001067269	0.06280	0.00713	0.55284	1.20203	0.25882	-1.00000	-1.00000
6229	Preit	Psche	un	24530	95	0.004836415	12.38461	1.36823	112.10013	1.09288	0.21569	-1.00000	-1.00000
6300	Preit	Psche	un	24760	19	0.033482876	7.66667	0.81337	72.26418	0.88461	0.13580	-1.00000	-1.00000
6457	Preit	Psche	un	25206	60	0.000382081	14.77778	3.14173	69.51031	1.16961	0.32890	-1.00000	-1.00000
6526	Preit	Psche	un	25319	73	0.000006783	35.00000	3.99752	306.43997	1.54407	0.45455	-1.00000	-1.00000
6576	Preit	Psche	un	25481	32	0.040040828	0.19298	0.04293	0.86743	0.71448	0.12023	-1.00000	-1.00000
6651	Preit	Psche	un	25675	23	0.244186047	0.30435	0.02934	3.15714	0.51663	0.04762	-1.00000	-1.00000
6765	Preit	Psche	un	25962	6	0.000009581	32.20000	3.71211	279.31317	1.50786	0.41935	-1.00000	-1.00000
6787	Preit	Psche	un	26142	85	0.003470672	13.15385	1.48226	116.73001	1.11905	0.24000	-1.00000	-1.00000
6810	Preit	Psche	un	26283	9	0.000894783	17.18182	1.92095	153.68147	1.23507	0.29630	-1.00000	-1.00000
6936	Preit	Psche	un	26496	19	0.051948052	0.15789	0.01662	1.49997	0.80163	0.12500	-1.00000	-1.00000
7114	Preit	Psche	un	27005	16	0.000001670	45.00000	4.99813	405.15155	1.65321	0.53846	-1.00000	-1.00000
7153	Preit	Psche	un	27155	64	0.001743679	19.00000	2.11867	170.39020	1.27875	0.25392	-1.00000	-1.00000
7213	Preit	Psche	un	27266	73	0.000001333	41.66667	4.79121	362.35330	1.61979	0.47727	-1.00000	-1.00000
7271	Preit	Psche	un	27450	51	0.035690345	0.13600	0.01457	1.26951	0.86646	0.12000	-1.00000	-1.00000
7320	Preit	Psche	un	27837	18	0.019914651	9.61539	1.01422	91.15915	0.98297	0.16667	-1.00000	-1.00000
7389	Preit	Psche	un	28385	56	0.054609929	5.95238	0.64385	55.02943	0.77469	0.09091	-1.00000	-1.00000
7615	Preit	Psche	un	28611	78	0.000022548	30.33333	3.43327	267.99869	1.48192	0.42857	-1.00000	-1.00000
7730	Preit	Psche	un	29197	54	0.002155635	13.93333	1.61301	120.35777	1.14406	0.23437	-1.00000	-1.00000
7761	Preit	Psche	un	29260	16	0.007388788	10.73333	1.19647	96.28674	1.03073	0.18333	-1.00000	-1.00000
7781	Preit	Psche	un	29356	10	0.000503205	25.50000	2.80764	231.60017	1.40654	0.32834	-1.00000	-1.00000
7786	Preit	Psche	un	29607	57	0.000000000	529.00000	31.17178	8977.38281	2.72346	1.00000	-1.00000	-1.00000
7912	Preit	Psche	un	29925	70	0.008664167	10.85714	1.21446	97.06160	1.03572	0.20323	-1.00000	-1.00000
7978	Preit	Psche	un	30223	60	0.000000000	437.00000	25.59137	7462.24072	2.64048	1.00000	-1.00000	-1.00000
8060	Preit	Psche	un	30408	41	0.001153593	21.00000	2.35199	187.50041	1.32222	0.26660	-1.00000	-1.00000
8065	Preit	Psche	un	30505	36	0.001638002	14.53846	1.64553	128.44907	1.16252	0.25000	-1.00000	-1.00000
8160	Preit	Psche	un	30788	15	0.613704503	2.71429	0.25970	28.36861	0.43366	0.01687	-1.00000	-1.00000
8225	Preit	Psche	un	31079	2	0.500000000	2.10000	0.17632	25.01105	0.32222	0.02564	-1.00000	-1.00000
8372	Preit	Psche	un	31645	59	0.029927761	7.00000	0.77521	63.20888	0.84510	0.13636	-1.00000	-1.00000
8412	Preit	Psche	un	31807	15	0.522048364	1.95652	0.18569	20.61476	0.29148	0.03241	-1.00000	-1.00000
8461	Preit	Psche	un	31999	4	0.615384615	0.47368	0.03945	5.68793	0.32451	0.00901	-1.00000	-1.00000
8526	Preit	Psche	un	32132	35	1.000000000	1.66667	0.20685	13.42884	0.22185	0.00649	-1.00000	-1.00000
8570	Preit	Psche	un	32273	72	0.000000817	43.44444	5.01506	376.35068	1.63793	0.48889	-1.00000	-1.00000
8613	Preit	Psche	un	32307	5	0.004726994	11.40000	1.29629	100.25533	1.05690	0.20455	-1.00000	-1.00000
8659	Preit	Psche	un	32493	90	0.000119067	22.45455	2.57588	195.74158	1.35130	0.35065	-1.00000	-1.00000
8704	Preit	Psche	un	32524	20	1.000000000	1.91667	0.16250	22.60740	0.28255	0.02037	-1.00000	-1.00000
8819	Preit	Psche	un	32852	42	0.220673635	0.27536	0.02644	2.86823	0.56010	0.05500	-1.00000	-1.00000
