# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Fisher's P	Odds Ratio	CI Low	CI High	LOD	AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value
1	north	south	un	6	5	0.094314289	0.28370	0.06983	1.15260	0.54714	0.02688	-1.00000	-1.00000
3	north	south	un	79	17	0.271372977	0.64800	0.31428	1.33607	0.18842	0.01119	-1.00000	-1.00000
13	north	south	un	485	47	0.356554241	1.61538	0.61189	4.26461	0.20828	0.00698	-1.00000	-1.00000
14	north	south	un	544	44	0.000816244	3.78462	1.71777	8.33832	0.57802	0.09512	-1.00000	-1.00000
16	north	south	un	577	15	0.194233597	1.67901	0.79808	3.53234	0.22505	0.01564	-1.00000	-1.00000
19	north	south	un	761	12	0.005510151	8.70149	1.08858	69.55470	0.93959	0.05798	-1.00000	-1.00000
20	north	south	un	812	2	0.040990980	5.42254	0.64782	45.38876	0.73420	0.03438	-1.00000	-1.00000
21	north	south	un	873	1	0.632346414	1.30277	0.48328	3.51187	0.11487	0.00205	-1.00000	-1.00000
22	north	south	un	989	55	0.011322890	3.35404	1.31427	8.55955	0.52557	0.05595	-1.00000	-1.00000
25	north	south	un	1033	37	0.005996200	8.37313	1.04679	66.97577	0.92289	0.05672	-1.00000	-1.00000
31	north	south	un	1215	33	0.360547949	0.61443	0.25490	1.48105	0.21153	0.00915	-1.00000	-1.00000
34	north	south	un	1286	42	0.692506257	0.70149	0.13564	3.62794	0.15398	0.00150	-1.00000	-1.00000
41	north	south	un	1495	5	0.038356475	2.31818	1.05007	5.11770	0.36515	0.03516	-1.00000	-1.00000
45	north	south	un	1698	23	0.587167184	0.77128	0.37967	1.56681	0.11279	0.00397	-1.00000	-1.00000
46	north	south	un	1738	2	0.713681349	1.17338	0.56687	2.42882	0.06944	0.00152	-1.00000	-1.00000
47	north	south	un	1846	49	0.000000001	0.01989	0.00257	0.15403	1.70133	0.27273	-1.00000	-1.00000
49	north	south	un	1930	11	0.582599810	0.71002	0.24447	2.06216	0.14873	0.00332	-1.00000	-1.00000
52	north	south	un	1990	9	0.374271491	0.54911	0.17235	1.74949	0.26034	0.00890	-1.00000	-1.00000
53	north	south	un	2053	8	0.053453263	0.41369	0.17910	0.95557	0.38332	0.03543	-1.00000	-1.00000
57	north	south	un	2257	26	0.013413976	0.24374	0.07873	0.75459	0.61307	0.05469	-1.00000	-1.00000
60	north	south	un	2311	18	0.000000250	0.02667	0.00342	0.20767	1.57403	0.19948	-1.00000	-1.00000
64	north	south	un	2511	30	0.318430461	0.45098	0.12055	1.68711	0.34584	0.01176	-1.00000	-1.00000
67	north	south	un	2684	16	0.432953998	0.69474	0.32280	1.49522	0.15818	0.00714	-1.00000	-1.00000
71	north	south	un	2796	1	0.360268932	1.42700	0.68808	2.95943	0.15442	0.00763	-1.00000	-1.00000
75	north	south	un	3084	45	0.143549649	5.02817	0.59994	42.14204	0.70141	0.02066	-1.00000	-1.00000
