# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Fisher's P	Odds Ratio	CI Low	CI High	LOD	AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value
2	Preit	Psche	un	94	93	0.000315288	0.05263	0.00611	0.45313	1.27875	0.30000	-1.00000	-1.00000
15	Preit	Psche	un	434	24	0.174603175	0.21569	0.01982	2.34663	0.66618	0.10256	-1.00000	-1.00000
16	Preit	Psche	un	541	31	0.032411883	9.00000	1.26773	63.89394	0.95424	0.22857	-1.00000	-1.00000
24	Preit	Psche	un	734	24	1.000000000	1.22222	0.19669	7.59475	0.08715	0.00179	-1.00000	-1.00000
27	Preit	Psche	un	1019	4	0.102937420	5.76923	0.59490	55.94896	0.76112	0.13462	-1.00000	-1.00000
28	Preit	Psche	un	1134	19	0.094796688	6.81818	0.69482	66.90595	0.83367	0.10256	-1.00000	-1.00000
30	Preit	Psche	un	1327	8	0.000814482	16.07692	1.84427	140.14633	1.20620	0.27273	-1.00000	-1.00000
35	Preit	Psche	un	1514	91	0.000425309	21.00000	2.30678	191.17557	1.32222	0.35714	-1.00000	-1.00000
43	Preit	Psche	un	1634	9	0.485057471	0.33333	0.03105	3.57894	0.47712	0.06250	-1.00000	-1.00000
45	Preit	Psche	un	1819	93	0.000167350	25.00000	2.76445	226.08469	1.39794	0.37500	-1.00000	-1.00000
49	Preit	Psche	un	1837	10	0.011948431	10.20000	1.15352	90.19357	1.00860	0.19394	-1.00000	-1.00000
52	Preit	Psche	un	1953	25	0.063423533	5.83333	0.61045	55.74186	0.76592	0.15882	-1.00000	-1.00000
57	Preit	Psche	un	2150	19	0.738453676	1.33333	0.34333	5.17806	0.12494	0.00433	-1.00000	-1.00000
59	Preit	Psche	un	2267	35	0.003470672	13.15385	1.48226	116.73001	1.11905	0.24000	-1.00000	-1.00000
63	Preit	Psche	un	2496	61	0.000026447	31.50000	3.50233	283.31107	1.49831	0.45267	-1.00000	-1.00000
64	Preit	Psche	un	2565	28	0.046583851	7.22222	0.71748	72.69946	0.85867	0.20000	-1.00000	-1.00000
