# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Fisher's P	Odds Ratio	CI Low	CI High	LOD	AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value
10	para	send	un	207	17	0.571428571	2.75000	0.21101	35.83977	0.43933	0.02865	-1.00000	-1.00000
20	para	send	un	353	38	0.005347594	14.66667	1.46368	146.96637	1.16633	0.38889	-1.00000	-1.00000
22	para	send	un	423	45	0.194805195	4.33333	0.38628	48.61218	0.63682	0.12000	-1.00000	-1.00000
41	para	send	un	717	21	0.194805195	4.33333	0.38628	48.61218	0.63682	0.12000	-1.00000	-1.00000
100	para	send	un	1163	21	0.605263158	0.44444	0.03359	5.88023	0.35218	0.01961	-1.00000	-1.00000
131	para	send	un	1722	13	0.454545455	2.60000	0.20544	32.90532	0.41497	0.05714	-1.00000	-1.00000
136	para	send	un	1847	12	0.000103612	40.33333	3.61317	450.23581	1.60566	0.69444	-1.00000	-1.00000
154	para	send	un	2030	3	0.000462386	27.50000	2.61547	289.14502	1.43933	0.57692	-1.00000	-1.00000
157	para	send	un	2145	56	0.096377307	0.16364	0.01607	1.66640	0.78612	0.18519	-1.00000	-1.00000
173	para	send	un	2260	45	0.005417957	15.40000	1.47324	160.97853	1.18752	0.42857	-1.00000	-1.00000
190	para	send	un	2563	31	0.077922078	6.50000	0.61268	68.95950	0.81291	0.18947	-1.00000	-1.00000
212	para	send	un	2861	13	0.454545455	2.60000	0.20544	32.90532	0.41497	0.05714	-1.00000	-1.00000
217	para	send	un	2923	10	1.000000000	1.00000	0.18666	5.35721	0.00000	0.00000	-1.00000	-1.00000
219	para	send	un	3010	33	0.220779221	0.22727	0.02162	2.38963	0.64345	0.13158	-1.00000	-1.00000
222	para	send	un	3068	29	0.194805195	4.33333	0.38628	48.61218	0.63682	0.12000	-1.00000	-1.00000
224	para	send	un	3187	22	0.651702786	2.00000	0.32444	12.32895	0.30103	0.02571	-1.00000	-1.00000
251	para	send	un	3777	36	0.000001546	143.00000	7.98071	2562.30469	2.15534	1.00000	-1.00000	-1.00000
256	para	send	un	3881	14	0.454545455	2.60000	0.20544	32.90532	0.41497	0.05714	-1.00000	-1.00000
257	para	send	un	3979	49	1.000000000	0.54545	0.04319	6.88922	0.26324	0.03968	-1.00000	-1.00000
258	para	send	un	4021	28	0.077922078	6.50000	0.61268	68.95950	0.81291	0.18947	-1.00000	-1.00000
289	para	send	un	4256	8	0.194805195	4.33333	0.38628	48.61218	0.63682	0.12000	-1.00000	-1.00000
303	para	send	un	4663	37	0.624060150	2.14286	0.28051	16.36977	0.33099	0.02510	-1.00000	-1.00000
323	para	send	un	4863	47	0.000462386	27.50000	2.61547	289.14502	1.43933	0.57692	-1.00000	-1.00000
327	para	send	un	4963	22	0.194805195	4.33333	0.38628	48.61218	0.63682	0.12000	-1.00000	-1.00000
352	para	send	un	5133	5	0.028708134	9.28571	0.89857	95.95755	0.96782	0.26667	-1.00000	-1.00000
353	para	send	un	5207	15	0.454545455	2.60000	0.20544	32.90532	0.41497	0.05714	-1.00000	-1.00000
354	para	send	un	5312	58	0.220779221	0.22727	0.02162	2.38963	0.64345	0.13158	-1.00000	-1.00000
355	para	send	un	5338	21	0.691355085	0.66667	0.12210	3.63986	0.17609	0.01000	-1.00000	-1.00000
363	para	send	un	5466	24	0.009569378	13.00000	1.26791	133.29063	1.11394	0.35294	-1.00000	-1.00000
374	para	send	un	5604	34	0.096377307	0.16364	0.01607	1.66640	0.78612	0.18519	-1.00000	-1.00000
415	para	send	un	6222	17	0.009569378	13.00000	1.26791	133.29063	1.11394	0.35294	-1.00000	-1.00000
416	para	send	un	6299	30	1.000000000	1.33333	0.23311	7.62632	0.12494	0.00476	-1.00000	-1.00000
436	para	send	un	6683	37	0.494736842	0.40741	0.03592	4.62133	0.38997	0.07407	-1.00000	-1.00000
442	para	send	un	6791	15	0.480519481	0.33333	0.02986	3.72096	0.47712	0.08333	-1.00000	-1.00000
478	para	send	un	7119	26	0.480519481	0.33333	0.02986	3.72096	0.47712	0.08333	-1.00000	-1.00000
518	para	send	un	7552	15	0.027421495	11.66667	1.52721	89.12430	1.06695	0.29174	-1.00000	-1.00000
546	para	send	un	7869	15	0.454545455	2.60000	0.20544	32.90532	0.41497	0.05714	-1.00000	-1.00000
563	para	send	un	8080	36	0.009569378	13.00000	1.26791	133.29063	1.11394	0.35294	-1.00000	-1.00000
582	para	send	un	8179	8	0.000020104	65.00000	5.13595	822.63300	1.81291	0.83077	-1.00000	-1.00000
