# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Fisher's P	Odds Ratio	CI Low	CI High	LOD	AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value
10	para	send	un	270	17	0.571428571	2.75000	0.21101	35.83977	0.43933	0.02865	-1.00000	-1.00000
20	para	send	un	589	20	0.003691355	27.00000	2.34266	311.18463	1.43136	0.42250	-1.00000	-1.00000
22	para	send	un	677	45	0.194805195	4.33333	0.38628	48.61218	0.63682	0.12000	-1.00000	-1.00000
41	para	send	un	1035	21	0.194805195	4.33333	0.38628	48.61218	0.63682	0.12000	-1.00000	-1.00000
82	para	send	un	1603	17	0.077922078	6.50000	0.61268	68.95950	0.81291	0.18947	-1.00000	-1.00000
100	para	send	un	1797	21	0.605263158	0.44444	0.03359	5.88023	0.35218	0.01961	-1.00000	-1.00000
121	para	send	un	2300	19	0.028708134	9.28571	0.89857	95.95755	0.96782	0.26667	-1.00000	-1.00000
130	para	send	un	2579	45	0.480519481	0.33333	0.02986	3.72096	0.47712	0.08333	-1.00000	-1.00000
131	para	send	un	2610	13	0.454545455	2.60000	0.20544	32.90532	0.41497	0.05714	-1.00000	-1.00000
132	para	send	un	2665	5	0.000357228	33.00000	2.90922	374.32764	1.51851	0.66667	-1.00000	-1.00000
136	para	send	un	2735	12	0.000103612	40.33333	3.61317	450.23581	1.60566	0.69444	-1.00000	-1.00000
154	para	send	un	3045	3	0.000462386	27.50000	2.61547	289.14502	1.43933	0.57692	-1.00000	-1.00000
157	para	send	un	3160	56	0.096377307	0.16364	0.01607	1.66640	0.78612	0.18519	-1.00000	-1.00000
173	para	send	un	3401	45	0.005417957	15.40000	1.47324	160.97853	1.18752	0.42857	-1.00000	-1.00000
190	para	send	un	3829	31	0.077922078	6.50000	0.61268	68.95950	0.81291	0.18947	-1.00000	-1.00000
208	para	send	un	4225	47	0.001688714	19.80000	1.94431	201.63474	1.29667	0.47619	-1.00000	-1.00000
212	para	send	un	4254	13	0.454545455	2.60000	0.20544	32.90532	0.41497	0.05714	-1.00000	-1.00000
217	para	send	un	4316	10	1.000000000	1.00000	0.18666	5.35721	0.00000	0.00000	-1.00000	-1.00000
219	para	send	un	4403	33	0.220779221	0.22727	0.02162	2.38963	0.64345	0.13158	-1.00000	-1.00000
222	para	send	un	4461	29	0.194805195	4.33333	0.38628	48.61218	0.63682	0.12000	-1.00000	-1.00000
224	para	send	un	4580	22	0.651702786	2.00000	0.32444	12.32895	0.30103	0.02571	-1.00000	-1.00000
256	para	send	un	5330	6	0.002814523	18.20000	1.76120	188.07681	1.26007	0.45000	-1.00000	-1.00000
257	para	send	un	5436	49	1.000000000	0.54545	0.04319	6.88922	0.26324	0.03968	-1.00000	-1.00000
258	para	send	un	5478	28	0.077922078	6.50000	0.61268	68.95950	0.81291	0.18947	-1.00000	-1.00000
268	para	send	un	5726	25	0.003691355	27.00000	2.34266	311.18463	1.43136	0.42250	-1.00000	-1.00000
271	para	send	un	5813	49	0.454545455	2.60000	0.20544	32.90532	0.41497	0.05714	-1.00000	-1.00000
289	para	send	un	6090	8	0.194805195	4.33333	0.38628	48.61218	0.63682	0.12000	-1.00000	-1.00000
291	para	send	un	6252	44	0.480519481	0.33333	0.02986	3.72096	0.47712	0.08333	-1.00000	-1.00000
303	para	send	un	6559	37	0.624060150	2.14286	0.28051	16.36977	0.33099	0.02510	-1.00000	-1.00000
323	para	send	un	6823	47	0.000462386	27.50000	2.61547	289.14502	1.43933	0.57692	-1.00000	-1.00000
327	para	send	un	6987	22	0.194805195	4.33333	0.38628	48.61218	0.63682	0.12000	-1.00000	-1.00000
331	para	send	un	7046	19	0.691355085	0.66667	0.12210	3.63986	0.17609	0.01000	-1.00000	-1.00000
352	para	send	un	7344	5	0.028708134	9.28571	0.89857	95.95755	0.96782	0.26667	-1.00000	-1.00000
353	para	send	un	7418	15	0.454545455	2.60000	0.20544	32.90532	0.41497	0.05714	-1.00000	-1.00000
354	para	send	un	7523	58	0.220779221	0.22727	0.02162	2.38963	0.64345	0.13158	-1.00000	-1.00000
355	para	send	un	7549	21	0.691355085	0.66667	0.12210	3.63986	0.17609	0.01000	-1.00000	-1.00000
363	para	send	un	7677	24	0.009569378	13.00000	1.26791	133.29063	1.11394	0.35294	-1.00000	-1.00000
374	para	send	un	7940	34	0.096377307	0.16364	0.01607	1.66640	0.78612	0.18519	-1.00000	-1.00000
